"","Index","FlowMetric","ModifiedClass","Quantile","NumberSitesPerClass"
"94","asci","Spring recession magnitude","Overall 30th",0.9,198
"95","asci","Spring recession magnitude","Soft Bottom (no hard sides)",0.5,4
"96","asci","Spring recession magnitude","Soft Bottom (no hard sides)",0.9,4
"97","asci","Spring recession magnitude","Soft Bottom (two hard sides)",0.5,13
"98","asci","Spring recession magnitude","Soft Bottom (two hard sides)",0.9,13
"99","asci","Wet-season low baseflow","Hard Bottom",0.5,29
"100","asci","Wet-season low baseflow","Hard Bottom",0.9,29
"101","asci","Wet-season low baseflow","Natural",0.5,97
"102","asci","Wet-season low baseflow","Natural",0.9,97
"103","asci","Wet-season low baseflow","Overall 10th",0.5,198
"104","asci","Wet-season low baseflow","Overall 10th",0.9,198
"105","asci","Wet-season low baseflow","Overall 1st",0.5,198
"106","asci","Wet-season low baseflow","Overall 1st",0.9,198
"107","asci","Wet-season low baseflow","Overall 30th",0.5,198
"108","asci","Wet-season low baseflow","Overall 30th",0.9,198
"109","asci","Wet-season low baseflow","Soft Bottom (no hard sides)",0.5,4
"110","asci","Wet-season low baseflow","Soft Bottom (no hard sides)",0.9,4
"111","asci","Wet-season low baseflow","Soft Bottom (two hard sides)",0.5,13
"112","asci","Wet-season low baseflow","Soft Bottom (two hard sides)",0.9,13
"113","asci","Wet-season median baseflow","Hard Bottom",0.5,29
"114","asci","Wet-season median baseflow","Hard Bottom",0.9,29
"115","asci","Wet-season median baseflow","Natural",0.5,97
"116","asci","Wet-season median baseflow","Natural",0.9,97
"117","asci","Wet-season median baseflow","Overall 10th",0.5,198
"118","asci","Wet-season median baseflow","Overall 10th",0.9,198
"119","asci","Wet-season median baseflow","Overall 1st",0.5,198
"120","asci","Wet-season median baseflow","Overall 1st",0.9,198
"121","asci","Wet-season median baseflow","Overall 30th",0.5,198
"122","asci","Wet-season median baseflow","Overall 30th",0.9,198
"123","asci","Wet-season median baseflow","Soft Bottom (no hard sides)",0.5,4
"124","asci","Wet-season median baseflow","Soft Bottom (no hard sides)",0.9,4
"125","asci","Wet-season median baseflow","Soft Bottom (two hard sides)",0.5,13
"126","asci","Wet-season median baseflow","Soft Bottom (two hard sides)",0.9,13
"127","csci","10-year flood magnitude","Hard Bottom",0.5,39
"128","csci","10-year flood magnitude","Hard Bottom",0.9,39
"129","csci","10-year flood magnitude","Natural",0.5,179
"130","csci","10-year flood magnitude","Natural",0.9,179
"131","csci","10-year flood magnitude","Overall 10th",0.5,343
"132","csci","10-year flood magnitude","Overall 10th",0.9,343
"133","csci","10-year flood magnitude","Overall 1st",0.5,343
"134","csci","10-year flood magnitude","Overall 1st",0.9,343
"135","csci","10-year flood magnitude","Overall 30th",0.5,343
"136","csci","10-year flood magnitude","Overall 30th",0.9,343
"137","csci","10-year flood magnitude","Soft Bottom (no hard sides)",0.5,6
"138","csci","10-year flood magnitude","Soft Bottom (no hard sides)",0.9,6
