"","comid","gageid","StationCode","bioindicator","REACHCODE","GNIS_ID","GNIS_NAME"
"74",22557960,"11057500","801STW085","ASCI","18070203000119",NA,NA
"75",22557960,"11057500","801STW258","ASCI","18070203000119",NA,NA
"76",24843752,"11059300","801S08183","ASCI","18070203000119",NA,NA
"77",22557922,"11060400","801S08183","ASCI","18070203000267",NA,NA
"78",24843814,"11061000","SMC01559","ASCI","18070203006179","272290","Lytle Creek"
"79",22554826,"11062000","SMC01559","ASCI","18070203000291","272290","Lytle Creek"
"80",22554826,"11062001","SMC01559","ASCI","18070203000291","272290","Lytle Creek"
"81",24843814,"11062300","SMC01559","ASCI","18070203006179","272290","Lytle Creek"
"82",22557742,"11063500","801S06679","ASCI","18070203001548",NA,NA
"83",22557742,"11063500","801S06231","ASCI","18070203001548",NA,NA
"84",22557744,"11063510","801S06679","ASCI","18070203002757",NA,NA
"85",22557744,"11063510","801S06231","ASCI","18070203002757",NA,NA
"86",22563032,"11066460","SMC06653","ASCI","18070203000075","273539","Santa Ana River"
"87",22563032,"11066460","801RB8361","ASCI","18070203000075","273539","Santa Ana River"
"88",22535256,"11069500","SMC35837","ASCI","18070202000046","273486","San Jacinto River"
"89",22535256,"11069500","801SJR159","ASCI","18070202000046","273486","San Jacinto River"
"90",22535256,"11069501","SMC35837","ASCI","18070202000046","273486","San Jacinto River"
"91",22535256,"11069501","801SJR159","ASCI","18070202000046","273486","San Jacinto River"
"92",22534666,"11070500","SMC27709","ASCI","18070202000004","273486","San Jacinto River"
"93",22560716,"11072100","SMC18169","ASCI","18070203000078","0","Temescal Wash"
"94",22560716,"11072100","SMC21371","ASCI","18070203000078","0","Temescal Wash"
"95",22557914,"11073300","801S04078","ASCI","18070203002431","273434","San Antonio Creek Channel"
"96",22556372,"11073360","801S04078","ASCI","18070203000306","240562","Chino Creek"
"97",22563070,"11073495","SMC15677","ASCI","18070203001704",NA,NA
"98",22563070,"11073495","801MIC042","ASCI","18070203001704",NA,NA
"99",22563070,"11073495","801S07485","ASCI","18070203001704",NA,NA
"100",22563070,"11073495","SMC11581","ASCI","18070203001704",NA,NA
"101",22563116,"11074000","SMC21822","ASCI","18070203000056","0","Santa Ana River"
"102",22563116,"11074000","SMC24222","ASCI","18070203000056","0","Santa Ana River"
"103",22527369,"11075720","SMC06302","ASCI","18070106000768","0","Carbon Canyon Creek"
"104",22527369,"11075720","SMC02206","ASCI","18070106000768","0","Carbon Canyon Creek"
"105",22563210,"11077500","SMC08414","ASCI","18070203000003",NA,NA
"106",22521721,"11087020","SMC13630","ASCI","18070106000770","1654998","San Gabriel River"
"107",22521721,"11087020","SMC16832","ASCI","18070106000770","1654998","San Gabriel River"
"108",22521721,"11087020","SMC12862","ASCI","18070106000770","1654998","San Gabriel River"
"109",22521721,"11087020","SMC20032","ASCI","18070106000770","1654998","San Gabriel River"
"110",22521721,"11087020","SMC17432","ASCI","18070106000770","1654998","San Gabriel River"
"111",22527375,"11088500","SMC01694","ASCI","18070106000018","0",NA
"112",22527373,"11089500","SMC00670","ASCI","18070106000625","0","Fullerton Creek"
"113",22527373,"11089500","845PS0011","ASCI","18070106000625","0","Fullerton Creek"
"114",22527373,"11089500","SMC02718","ASCI","18070106000625","0","Fullerton Creek"
"115",22515812,"11092450","SMC02804","ASCI","18070105000097","0","Angeles River, Los"
"116",22515812,"11092450","SMC02996","ASCI","18070105000097","0","Angeles River, Los"
"117",22515762,"11097000","SMC02804","ASCI","18070105000737",NA,NA
"118",22515762,"11097000","SMC02996","ASCI","18070105000737",NA,NA
"119",22515826,"11101250","SMC00830","ASCI","18070105000008","248210","Rio Hondo"
"120",22515830,"11102300","SMC00830","ASCI","18070105000635","248210","Rio Hondo"
"121",17562626,"11106550","408PS0032","ASCI","18070103000004","240043","Calleguas Creek"
"122",17562626,"11106550","SMC03268","ASCI","18070103000004","240043","Calleguas Creek"
"123",17562626,"11106550","SMC13508","ASCI","18070103000004","240043","Calleguas Creek"
"124",17574705,"11108500","403S01784","ASCI","18070102000040","273545","Santa Clara River"
"125",17574705,"11108500","403S04600","ASCI","18070102000040","273545","Santa Clara River"
"126",17574705,"11108500","SMC04600","ASCI","18070102000040","273545","Santa Clara River"
"127",17575785,"11109000","403S01784","ASCI","18070102000037","273545","Santa Clara River"
"128",17575785,"11109000","403S04600","ASCI","18070102000037","273545","Santa Clara River"
"129",17575785,"11109000","SMC04600","ASCI","18070102000037","273545","Santa Clara River"
"130",17569497,"11109525","403S07024","ASCI","18070102001452","273030","Piru Creek"
"131",17569497,"11109525","403S01136","ASCI","18070102001452","273030","Piru Creek"
"132",17575859,"11109800","SMC06904","ASCI","18070102000149","273030","Piru Creek"
"133",17575859,"11109800","403S02764","ASCI","18070102000149","273030","Piru Creek"
"134",17575859,"11109800","403S16978","ASCI","18070102000149","273030","Piru Creek"
