"","metric","ThresholdNAT_Lower","ThresholdNAT_Upper","ThresholdNATMed_Lower","ThresholdNATMed_Upper","ThresholdNATLow_Lower","ThresholdNATLow_Upper","ThresholdNATHigh_Lower","ThresholdNATHigh_Upper","ThresholdHB_Lower","ThresholdHB_Upper","ThresholdSB0_Lower","ThresholdSB0_Upper","ThresholdSB2_Lower","ThresholdSB2_Upper","n","Index","Hydro_endpoint","SmoothingFunc","CorObs_Pred"
"36","csci_Q99_6",-234.816156362827,NA,-234.816156362827,NA,-26469.0924415159,-2910.53405417644,232.083194432877,NA,-22564.702597771,-3336.13552729729,-265.957770245936,NA,-14755.9229102812,-12315.775801678,402,"csci","Q99",6,0.458838620743952
"37","asci_DS_Mag_50_9",NA,NA,NA,NA,-6.84302769734886,1.65158058674478,NA,NA,NA,NA,-4.89930301687217,0.697422276179126,-6.35709652722969,1.43249045250588,223,"asci","DS_Mag_50",9,0.387878739900872
"38","csci_DS_Mag_50_9",-6.19031726680406,3.6915626533667,-6.19031726680406,3.6915626533667,-17.8870122300149,12.1922365371524,NA,NA,-14.8098992839257,8.90159831603988,-6.57540378524523,3.95975325265701,-7.83066320230461,4.8871206635587,402,"csci","DS_Mag_50",9,0.594920359066261
"39","asci_FA_Mag_9",NA,NA,NA,NA,11.3757285233598,21.1425558122824,NA,NA,NA,NA,NA,NA,NA,NA,223,"asci","FA_Mag",9,0.255932301769265
"40","csci_FA_Mag_9",-25.50792439461,43.0229085416716,-25.50792439461,43.0229085416716,-144.533184456485,196.55165850752,NA,NA,-101.664154981997,158.655992945196,-29.2862024946189,46.3206342159817,-40.6210367946455,55.6936196195379,402,"csci","FA_Mag",9,0.513596991368038
"41","asci_Peak_10_9",5062.20159540105,NA,5062.20159540105,NA,-398.379400322247,1739.89877668825,5916.88998593859,NA,5243.28359634554,NA,3794.62758878962,NA,-187.849165644078,-125.653175663319,223,"asci","Peak_10",9,0.380214188586655
"42","csci_Peak_10_9",-595.207111071239,NA,-595.207111071239,NA,-11559.2659498286,-6099.74213502162,1388.88630912524,NA,-10014.6623158137,-6656.87242397838,-648.870184666208,NA,-800.473950793816,NA,402,"csci","Peak_10",9,0.527617479653301
"43","asci_Peak_2_9",689.467162679223,1000.59338616737,689.467162679223,1000.59338616737,-166.576120660236,34.2626327005404,NA,NA,740.510242099127,981.847774810434,-122.974415132211,-17.3155138265215,-157.09944747384,21.848447098231,223,"asci","Peak_2",9,0.497278893866772
"44","csci_Peak_2_9",-231.543241848096,71.4256565905834,-231.543241848096,71.4256565905834,-6758.66190916224,-3268.81108194404,755.19038666864,NA,-5818.17060704711,-4201.63994701843,-241.639486382101,82.6453046841306,-272.306046776372,120.672838226006,402,"csci","Peak_2",9,0.493974318800472
"45","asci_Peak_5_9",3210.24074029165,NA,3210.24074029165,NA,-127.600926544868,1922.54115016732,3640.60912241646,NA,3264.03678805725,NA,478.308390599593,1222.46843419759,50.9864460833018,1747.52297117489,223,"asci","Peak_5",9,0.353217624854115
"46","csci_Peak_5_9",-468.822983675396,NA,-468.822983675396,NA,-18362.4622107571,-9710.20730208445,976.042391956188,NA,-18243.9033904248,-11228.4036865328,-541.7600568754,NA,-18026.2504754961,-17091.8869734612,402,"csci","Peak_5",9,0.453438090030941
"47","asci_SP_Mag_9",1408.79821252926,NA,1408.79821252926,NA,-109.955122681361,128.088789627038,1526.4958150891,NA,1423.51041284924,NA,20.9905524760344,93.9857290469447,-90.6909574014573,120.090183488572,223,"asci","SP_Mag",9,0.452839506558463
"48","csci_SP_Mag_9",-38.006838418416,167.288509386826,-38.006838418416,167.288509386826,-914.550149212458,-838.486640540892,1488.4483499117,NA,-93.7782774767516,238.653450677291,-43.4043444362117,173.965506223222,-58.5593192899695,191.47698520751,402,"csci","SP_Mag",9,0.484426549875873
"49","asci_Wet_BFL_Mag_10_9",NA,NA,NA,NA,-15.0225853293221,-0.701937997444365,NA,NA,NA,NA,-11.6944504070009,-3.17430558105327,-14.1905515987418,-1.39931895010988,223,"asci","Wet_BFL_Mag_10",9,0.276063103445228
"50","csci_Wet_BFL_Mag_10_9",-12.6083164835997,7.30754716604418,-12.6083164835997,7.30754716604418,-83.2420922632137,-76.2338244699201,NA,NA,-16.0125938632262,50.1419928681881,-12.9319398001553,8.03569109074851,-13.9028097498222,9.81811065692106,402,"csci","Wet_BFL_Mag_10",9,0.436768257624987
"51","asci_Wet_BFL_Mag_50_9",97.907237531981,167.350624442762,97.907237531981,167.350624442762,-103.334420222329,-36.0684937138891,108.322623742209,151.705533132736,99.2091608082595,165.394988029009,-75.8278592186408,-45.1463713536295,-96.457779971407,-39.2000843663819,223,"asci","Wet_BFL_Mag_50",9,0.351486750767029
"52","csci_Wet_BFL_Mag_50_9",-243.228050390489,-69.2665177506134,-243.228050390489,-69.2665177506134,-324.869379995121,175.588020030333,-176.894470086725,-82.4961750630925,-304.459047593963,170.636347435611,-248.330633490779,-68.2488518034996,-263.638382791647,-64.9801249528788,402,"csci","Wet_BFL_Mag_50",9,0.374074150045939
"53","asci_Q99_9",664.382329549555,NA,664.382329549555,NA,-258.536904052857,32.5037991361854,827.625345855511,NA,689.403671949388,NA,489.232932750722,NA,-223.91674404807,-5.85122089610942,223,"asci","Q99",9,0.406328918379338
"54","csci_Q99_9",-216.505143339918,NA,-216.505143339918,NA,-26468.3010377475,-2755.10546243787,393.431014826404,NA,-22563.7669446699,-5664.63967999938,-237.172007923786,NA,-14754.6987585149,-13166.5996881132,402,"csci","Q99",9,0.486250563026075
"55","asci_DS_Mag_50_12",NA,NA,NA,NA,-6.06571666959803,1.85790422012903,NA,NA,NA,NA,-3.16556972952097,1.04613251296541,-5.2134995552074,1.67369837701654,223,"asci","DS_Mag_50",12,0.424484227491211
"56","csci_DS_Mag_50_12",-4.56799789529464,3.30400935486797,-4.56799789529464,3.30400935486797,-21.2050612300205,13.3204234918449,-0.569756066032219,0.101355776720989,-20.5072014785566,-13.4708111485888,-4.92643094963595,3.49931592010203,-6.01068515010272,4.16686152409802,402,"csci","DS_Mag_50",12,0.609438599375276
"57","asci_FA_Mag_12",NA,NA,NA,NA,9.06438599266479,23.8705143849553,NA,NA,NA,NA,NA,NA,13.2993514718927,21.5118842120753,223,"asci","FA_Mag",12,0.303030552242712
"58","csci_FA_Mag_12",-11.7026088475811,47.4270054804043,-11.7026088475811,47.4270054804043,-226.421012034271,-115.344890384073,NA,NA,-76.1862326568388,71.9871987553773,-15.8807274534287,50.1892333542441,-28.6594067908873,58.4759169757633,402,"csci","FA_Mag",12,0.531314956607406
"59","asci_Peak_10_12",5546.07425293238,NA,5546.07425293238,NA,-584.897306209193,44.2183262497826,5984.72701152956,NA,5660.1022134711,NA,742.252735935726,1396.79868301236,-529.825338712735,-24.3011535286194,223,"asci","Peak_10",12,0.413214922521456
